TCA, EAV , Rate ,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN,MSQ,WTR,TIF,SSA1,SSA2,SSA3,SSA4,
4051, -   , -   ,532,34,117,,,ANTIO,ANTIO,,,,,ANT03,CTY08,,,,
4052, -   ,12.025731,532,34,117,,ANTIO,ANTIO,ANTIO,,,,,ANT03,CTY08,,,,
4053,"40,445",11.93125,532,34,117,,ANTIO,ANTIO,ANTIO,,,,,ANT03,,,,,
4054, -   ,11.142802,532,33,117,,ANTIO,ANTIO,ANTIO,,,,,ANT03,,,,,
4055, -   ,11.237283,532,33,117,,ANTIO,ANTIO,ANTIO,,,,,ANT03,CTY08,,,,
4056,"139,826",9.931753,532,114,117,,,FOXLK,ANTIO,,,,,,,,,,
5001,"4,518,951",12.1348,532,41,117,,LKVLA,LKVLA,LKVLA,,,,CLCJA,,,,,,
5002, -   , -   ,532,,,116,,LKVLA,LKVLA,,LKREG,,,,,,,,
5003,"1,520,076",12.942797,532,24,117,,,LKVLA,LKVLA,,,,,,,,,,
5004,"7,164,887",10.591881,532,33,117,,,LKVLA,LKVLA,,,,,,,,,,
5005,"19,065,502",11.380329,532,34,117,,,LKVLA,LKVLA,,,,,,,,,,
5006,"2,418,437",10.663424,532,36,117,,,LKVLA,LKVLA,,,,,,,,,,
5007,"201,279",12.388875,532,34,117,,LKVLA,LKVLA,LKVLA,,,,CLCJA,,,,,,
5008,"54,725,524",11.126254,532,41,117,,,LKVLA,LKVLA,,,,,,,,,,
5009, -   , -   ,532,34,117,,,LKVLA,LKVLA,LNDHT,LNDHT,,,,,,,,
5010,"10,476,370",8.918879,532,37,124,,,LKVLA,LKVLA,,,,,,,,,,
5011,"11,091,493",10.245072,532,41,124,,,LKVLA,LKVLA,,LKREG,,,,,,,,
5012, -   , -   ,532,37,124,,,LKVLA,LKVLA,,FXLKH,,,,,,,,
5013, -   ,13.827644,532,24,127,,,LKVLA,LKVLA,,,,,,,,,,
5014,"46,127,679",12.011101,532,41,127,,,LKVLA,LKVLA,,,,,,,,,,
5015, -   , -   ,532,41,117,,,LKVLA,LKVLA,,FXLKH,,,,,,,,
5016,"132,709",12.619343,532,46,127,,,LKVLA,LKVLA,,,,,,,,,,
5017,"864,508",11.670467,532,50,127,,,LKVLA,LKVLA,,,,,,,,,,
